city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Muhembo,Muhembo,-18.2996,21.8,Botswana,BW,BWA,North West,,757.0,1072113578
Gaborone,Gaborone,-24.6581,25.9122,Botswana,BW,BWA,Gaborone,primary,235884.0,1072756768
Francistown,Francistown,-21.1736,27.5125,Botswana,BW,BWA,Francistown,admin,103417.0,1072124168
Molepolole,Molepolole,-24.4067,25.495,Botswana,BW,BWA,Kweneng,admin,67598.0,1072560529
Mogoditshane,Mogoditshane,-24.6333,25.8667,Botswana,BW,BWA,Kweneng,,57637.0,1072633229
Maun,Maun,-19.9833,23.4167,Botswana,BW,BWA,North West,admin,57067.0,1072985345
Selibe Phikwe,Selibe Phikwe,-21.9758,27.84,Botswana,BW,BWA,Selibe Phikwe,admin,49724.0,1072308184
Kanye,Kanye,-24.9833,25.35,Botswana,BW,BWA,Southern,admin,48028.0,1072506645
Serowe,Serowe,-22.3833,26.7167,Botswana,BW,BWA,Central,admin,47447.0,1072708388
Mochudi,Mochudi,-24.4167,26.15,Botswana,BW,BWA,Kgatleng,admin,44815.0,1072876960
Mahalapye,Mahalapye,-23.1,26.8,Botswana,BW,BWA,Central,,41316.0,1072304817
Palapye,Palapye,-22.55,27.1333,Botswana,BW,BWA,Central,,36211.0,1072264514
Tlokweng,Tlokweng,-24.6667,25.9667,Botswana,BW,BWA,South East,,35982.0,1072229706
Ramotswa,Ramotswa,-24.8667,25.8167,Botswana,BW,BWA,South East,admin,27760.0,1072070629
Lobatse,Lobatse,-25.2167,25.6667,Botswana,BW,BWA,Lobatse,admin,26900.0,1072740062
Ghanzi,Ghanzi,-21.7,21.65,Botswana,BW,BWA,Ghanzi,admin,21420.0,1072132620
Bobonong,Bobonong,-21.9704,28.4233,Botswana,BW,BWA,Central,,21216.0,1072058132
Letlhakane,Letlhakane,-21.4167,25.5833,Botswana,BW,BWA,Central,,20841.0,1072953964
Mosopa,Mosopa,-24.7792,25.4183,Botswana,BW,BWA,Southern,,19780.0,1072143479
Thamaga,Thamaga,-24.7167,25.5333,Botswana,BW,BWA,Kweneng,,19547.0,1072258632
Jwaneng,Jwaneng,-24.6019,24.7283,Botswana,BW,BWA,Jwaneng,admin,18784.0,1072118187
Gabane,Gabane,-24.6667,25.7833,Botswana,BW,BWA,Kweneng,,14842.0,1072883950
Mmopone,Mmopone,-24.5669,25.8733,Botswana,BW,BWA,Kweneng,,14655.0,1072944302
Mmadinare,Mmadinare,-21.8746,27.7496,Botswana,BW,BWA,Central,,12086.0,1072680317
Kopong,Kopong,-24.4686,25.8922,Botswana,BW,BWA,South East,,9320.0,1072664885
Kasane,Kasane,-17.8167,25.15,Botswana,BW,BWA,Chobe,admin,9008.0,1072217316
Tshabong,Tshabong,-26.02,22.4056,Botswana,BW,BWA,Kgalagadi,admin,8939.0,1072830877
Shoshong,Shoshong,-23.0333,26.5167,Botswana,BW,BWA,Central,,8887.0,1072225967
Metsemotlhaba,Metsemotlhaba,-24.5531,25.8039,Botswana,BW,BWA,Kweneng,,8884.0,1072683214
Nata,Nata,-20.2106,26.1806,Botswana,BW,BWA,Central,,6802.0,1072462404
Masunga,Masunga,-20.6667,27.4167,Botswana,BW,BWA,North East,admin,5696.0,1072609074
Mopipi,Mopipi,-21.2019,24.8683,Botswana,BW,BWA,Central,,3066.0,1072326657
Sowa Town,Sowa Town,-20.5636,26.2244,Botswana,BW,BWA,Sowa Town,admin,2914.0,1072487689
Lehututu,Lehututu,-23.9169,21.8264,Botswana,BW,BWA,Kgalagadi,,2284.0,1072398415
Nokaneng,Nokaneng,-19.6639,22.1917,Botswana,BW,BWA,North West,,1763.0,1072707427
Lokwabe,Lokwabe,-24.0961,21.7781,Botswana,BW,BWA,Kgalagadi,,1473.0,1072642304
Tsau,Tsau,-20.165,22.4544,Botswana,BW,BWA,North West,,1409.0,1072736607
Muhembo,Muhembo,-18.2996,21.8,Botswana,BW,BWA,North West,,757.0,1072113578
