city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kvívík,Kvivik,62.1186,-7.0737,Faroe Islands,FO,FRO,Kvívík,admin,,1234955585
Sumba,Sumba,61.4055,-6.709,Faroe Islands,FO,FRO,Sumba,admin,,1234926212
Viðareiði,Vidhareidhi,62.36,-6.5313,Faroe Islands,FO,FRO,Viðareiði,admin,,1234512915
Norðragøta,Nordhragota,62.199,-6.7432,Faroe Islands,FO,FRO,Eystur,admin,,1234729250
Toftir,Toftir,62.0978,-6.7369,Faroe Islands,FO,FRO,Nes,admin,,1234200740
Kirkja,Kirkja,62.3263,-6.3238,Faroe Islands,FO,FRO,Fugloy,admin,,1234508245
Eiði,Eidhi,62.2995,-7.0924,Faroe Islands,FO,FRO,Eiði,admin,,1234150922
Sandavágur,Sandavagur,62.0537,-7.1498,Faroe Islands,FO,FRO,Vágar,admin,,1234210554
Skúvoy,Skuvoy,61.771,-6.805,Faroe Islands,FO,FRO,Skúvoy,admin,,1234962897
Skálavík,Skalavik,61.8314,-6.6623,Faroe Islands,FO,FRO,Skálavík,admin,,1234815917
Sørvágur,Sorvagur,62.0717,-7.3066,Faroe Islands,FO,FRO,Sørvágur,admin,,1234081530
Vestmanna,Vestmanna,62.1548,-7.169,Faroe Islands,FO,FRO,Vestmanna,admin,,1234694837
Strendur,Strendur,62.1096,-6.7617,Faroe Islands,FO,FRO,Sjóvar,admin,,1234814533
Tvøroyri,Tvoroyri,61.5544,-6.8063,Faroe Islands,FO,FRO,Tvøroyri,admin,,1234871801
Húsavík,Husavik,61.8099,-6.6813,Faroe Islands,FO,FRO,Húsavík,admin,,1234224518
Kunoy,Kunoy,62.2917,-6.6702,Faroe Islands,FO,FRO,Kunoy,admin,,1234932703
Oyrarbakki,Oyrarbakki,62.2079,-6.9997,Faroe Islands,FO,FRO,Sunda,admin,,1234924029
