city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Chinsali,Chinsali,-10.5522,32.0692,Zambia,ZM,ZMB,Muchinga,admin,15198.0,1894041491
Kapiri Mposhi,Kapiri Mposhi,-13.9772,28.6847,Zambia,ZM,ZMB,Central,,14792.0,1894676779
Kaoma,Kaoma,-14.8,24.8,Zambia,ZM,ZMB,Western,,14200.0,1894846267
Chifubu,Chifubu,-12.9333,28.6167,Zambia,ZM,ZMB,Copperbelt,,13307.0,1894511606
Chilonga,Chilonga,-12.0244,31.3364,Zambia,ZM,ZMB,Muchinga,,11816.0,1894544626
Lundazi,Lundazi,-12.3,33.1833,Zambia,ZM,ZMB,Eastern,,11635.0,1894277247
Nakonde,Nakonde,-9.3272,32.7583,Zambia,ZM,ZMB,Muchinga,,10652.0,1894139781
Senanga,Senanga,-16.1167,23.2667,Zambia,ZM,ZMB,Western,,10005.0,1894742251
Kalabo,Kalabo,-14.9911,22.6789,Zambia,ZM,ZMB,Western,,7731.0,1894966417
Zambezi,Zambezi,-13.55,23.1167,Zambia,ZM,ZMB,North-Western,,7074.0,1894660797
Lukulu,Lukulu,-14.4083,23.2667,Zambia,ZM,ZMB,Western,,3349.0,1894281443
Nyimba,Nyimba,-14.5495,30.81,Zambia,ZM,ZMB,Eastern,,1336.0,1894088472
Lusaka,Lusaka,-15.4167,28.2833,Zambia,ZM,ZMB,Lusaka,primary,2467563.0,1894157390
Ndola,Ndola,-12.9689,28.6325,Zambia,ZM,ZMB,Copperbelt,admin,528330.0,1894032745
Kitwe,Kitwe,-12.8167,28.2,Zambia,ZM,ZMB,Copperbelt,,504194.0,1894321752
Kafue,Kafue,-15.7667,28.1833,Zambia,ZM,ZMB,Lusaka,,219000.0,1894930695
Mazabuka,Mazabuka,-15.8467,27.7475,Zambia,ZM,ZMB,Southern,,203219.0,1894390715
Mongu,Mongu,-15.2775,23.1319,Zambia,ZM,ZMB,Western,admin,179585.0,1894761291
Kasama,Kasama,-10.2117,31.1783,Zambia,ZM,ZMB,Northern,admin,168102.0,1894305215
Kashikishi,Kashikishi,-9.3,28.7167,Zambia,ZM,ZMB,Luapula,,150000.0,1894795016
Nchelenge,Nchelenge,-9.3533,28.7403,Zambia,ZM,ZMB,Luapula,,147927.0,1894890604
Chingola,Chingola,-12.5333,27.85,Zambia,ZM,ZMB,Copperbelt,,147448.0,1894202007
Mansa,Mansa,-11.2,28.8833,Zambia,ZM,ZMB,Luapula,admin,129185.0,1894038366
Mufulira,Mufulira,-12.5356,28.2419,Zambia,ZM,ZMB,Copperbelt,,122336.0,1894907880
Bwana Mkubwa,Bwana Mkubwa,-12.9833,28.7,Zambia,ZM,ZMB,Copperbelt,,118464.0,1894858787
Luanshya,Luanshya,-13.1333,28.4,Zambia,ZM,ZMB,Copperbelt,,117579.0,1894410334
Kabwe,Kabwe,-14.4333,28.45,Zambia,ZM,ZMB,Central,admin,117517.0,1894711746
Kasempa,Kasempa,-13.455,25.835,Zambia,ZM,ZMB,North-Western,,111272.0,1894152710
Mporokoso,Mporokoso,-9.3833,30.1,Zambia,ZM,ZMB,Northern,,100993.0,1894882927
Chipata,Chipata,-13.6453,32.6464,Zambia,ZM,ZMB,Eastern,admin,98416.0,1894816262
Solwezi,Solwezi,-12.1433,26.3858,Zambia,ZM,ZMB,North-Western,admin,90856.0,1894777820
Chililabombwe,Chililabombwe,-12.3667,27.8278,Zambia,ZM,ZMB,Copperbelt,,90530.0,1894950283
Chirundu,Chirundu,-16.05,28.8333,Zambia,ZM,ZMB,Southern,,84750.0,1894856417
Choma,Choma,-16.7711,26.9922,Zambia,ZM,ZMB,Southern,admin,51842.0,1894419971
Livingstone,Livingstone,-17.85,25.8667,Zambia,ZM,ZMB,Southern,,33000.0,1894634581
Mpika,Mpika,-11.83,31.46,Zambia,ZM,ZMB,Muchinga,,28445.0,1894224372
Kawambwa,Kawambwa,-9.7914,29.0789,Zambia,ZM,ZMB,Luapula,,20589.0,1894964184
Mbala,Mbala,-8.8333,31.3833,Zambia,ZM,ZMB,Northern,,20570.0,1894671312
Sesheke,Sesheke,-17.4667,24.3,Zambia,ZM,ZMB,Western,,20149.0,1894753767
Mumbwa,Mumbwa,-14.9853,27.0619,Zambia,ZM,ZMB,Central,,19086.0,1894568812
Mwinilunga,Mwinilunga,-11.7172,24.4289,Zambia,ZM,ZMB,North-Western,,15704.0,1894210586
Chinsali,Chinsali,-10.5522,32.0692,Zambia,ZM,ZMB,Muchinga,admin,15198.0,1894041491
Kapiri Mposhi,Kapiri Mposhi,-13.9772,28.6847,Zambia,ZM,ZMB,Central,,14792.0,1894676779
Kaoma,Kaoma,-14.8,24.8,Zambia,ZM,ZMB,Western,,14200.0,1894846267
Chifubu,Chifubu,-12.9333,28.6167,Zambia,ZM,ZMB,Copperbelt,,13307.0,1894511606
Chilonga,Chilonga,-12.0244,31.3364,Zambia,ZM,ZMB,Muchinga,,11816.0,1894544626
Lundazi,Lundazi,-12.3,33.1833,Zambia,ZM,ZMB,Eastern,,11635.0,1894277247
Nakonde,Nakonde,-9.3272,32.7583,Zambia,ZM,ZMB,Muchinga,,10652.0,1894139781
Senanga,Senanga,-16.1167,23.2667,Zambia,ZM,ZMB,Western,,10005.0,1894742251
Kalabo,Kalabo,-14.9911,22.6789,Zambia,ZM,ZMB,Western,,7731.0,1894966417
Zambezi,Zambezi,-13.55,23.1167,Zambia,ZM,ZMB,North-Western,,7074.0,1894660797
Lukulu,Lukulu,-14.4083,23.2667,Zambia,ZM,ZMB,Western,,3349.0,1894281443
Nyimba,Nyimba,-14.5495,30.81,Zambia,ZM,ZMB,Eastern,,1336.0,1894088472
