city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Nyírbátor,Nyirbator,47.8333,22.1333,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,minor,11388.0,1348699897
Tököl,Tokol,47.3203,18.9671,Hungary,HU,HUN,Pest,,11332.0,1348214866
Bátonyterenye,Batonyterenye,47.9892,19.8286,Hungary,HU,HUN,Nógrád,minor,11284.0,1348134134
Sajószentpéter,Sajoszentpeter,48.2167,20.7167,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,,11274.0,1348595790
Bicske,Bicske,47.4907,18.6363,Hungary,HU,HUN,Fejér,minor,11266.0,1348286686
Ráckeve,Rackeve,47.1608,18.9456,Hungary,HU,HUN,Pest,minor,11043.0,1348331289
Solymár,Solymar,47.591,18.929,Hungary,HU,HUN,Pest,,11005.0,1348009573
Tiszafüred,Tiszafured,47.6167,20.7667,Hungary,HU,HUN,Jász-Nagykun-Szolnok,minor,10752.0,1348745006
Sárospatak,Sarospatak,48.319,21.5664,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,minor,10741.0,1348369624
Marcali,Marcali,46.5858,17.4128,Hungary,HU,HUN,Somogy,minor,10700.0,1348924700
Tolna,Tolna,46.4236,18.7903,Hungary,HU,HUN,Tolna,minor,10697.0,1348510202
Tárnok,Tarnok,47.3597,18.8586,Hungary,HU,HUN,Pest,,10526.0,1348320388
Körmend,Kormend,47.011,16.6058,Hungary,HU,HUN,Vas,minor,10255.0,1348688701
Csömör,Csomor,47.55,19.2333,Hungary,HU,HUN,Pest,,10215.0,1348004899
Kisújszállás,Kisujszallas,47.2169,20.7669,Hungary,HU,HUN,Jász-Nagykun-Szolnok,,10055.0,1348563920
Tiszaföldvár,Tiszafoldvar,46.9739,20.2539,Hungary,HU,HUN,Jász-Nagykun-Szolnok,,10039.0,1348506959
Kapuvár,Kapuvar,47.6,17.0333,Hungary,HU,HUN,Győr-Moson-Sopron,minor,9953.0,1348249118
Balatonalmádi,Balatonalmadi,47.0333,18.0167,Hungary,HU,HUN,Veszprém,minor,9943.0,1348907128
Ócsa,Ocsa,47.2934,19.226,Hungary,HU,HUN,Pest,,9941.0,1348733489
Heves,Heves,47.6,20.2833,Hungary,HU,HUN,Heves,minor,9923.0,1348843058
Celldömölk,Celldomolk,47.2557,17.1491,Hungary,HU,HUN,Vas,minor,9860.0,1348592916
Barcs,Barcs,45.9601,17.4601,Hungary,HU,HUN,Somogy,minor,9845.0,1348676786
Csorna,Csorna,47.6167,17.25,Hungary,HU,HUN,Győr-Moson-Sopron,minor,9680.0,1348687588
Szigetvár,Szigetvar,46.0475,17.7994,Hungary,HU,HUN,Baranya,minor,9594.0,1348527343
Erdőkertes,Erdokertes,47.6667,19.3167,Hungary,HU,HUN,Pest,,9564.0,1348236024
Mezőberény,Mezobereny,46.8167,21.0167,Hungary,HU,HUN,Békés,,9537.0,1348124079
Nagyatád,Nagyatad,46.2227,17.3643,Hungary,HU,HUN,Somogy,minor,9508.0,1348804654
Edelény,Edeleny,48.2967,20.7442,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,minor,9259.0,1348035547
Sarkad,Sarkad,46.75,21.3833,Hungary,HU,HUN,Békés,minor,9171.0,1348531339
Nagykálló,Nagykallo,47.8833,21.85,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,minor,9134.0,1348262569
Kiskunlacháza,Kiskunlachaza,47.2,19.0167,Hungary,HU,HUN,Pest,,9090.0,1348557191
Dunavarsány,Dunavarsany,47.2781,19.0672,Hungary,HU,HUN,Pest,,8799.0,1348821728
Nagykovácsi,Nagykovacsi,47.58,18.88,Hungary,HU,HUN,Pest,,8789.0,1348566007
Siklós,Siklos,45.8521,18.2988,Hungary,HU,HUN,Baranya,minor,8700.0,1348986521
Piliscsaba,Piliscsaba,47.6167,18.8333,Hungary,HU,HUN,Pest,,8612.0,1348996792
Pásztó,Paszto,47.9194,19.6978,Hungary,HU,HUN,Nógrád,minor,8545.0,1348953784
Budapest,Budapest,47.4925,19.0514,Hungary,HU,HUN,Budapest,primary,2997958.0,1348611435
Debrecen,Debrecen,47.53,21.6392,Hungary,HU,HUN,Hajdú-Bihar,admin,328642.0,1348460698
Székesfehérvár,Szekesfehervar,47.1956,18.4089,Hungary,HU,HUN,Fejér,admin,272474.0,1348968301
Pécs,Pecs,46.0711,18.2331,Hungary,HU,HUN,Baranya,admin,251412.0,1348611992
Győr,Gyor,47.6842,17.6344,Hungary,HU,HUN,Győr-Moson-Sopron,admin,246159.0,1348507878
Szeged,Szeged,46.255,20.145,Hungary,HU,HUN,Csongrád-Csanád,admin,239025.0,1348655615
Nyíregyháza,Nyiregyhaza,47.9531,21.7271,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,admin,238020.0,1348653343
Kecskemét,Kecskemet,46.9061,19.6897,Hungary,HU,HUN,Bács-Kiskun,admin,187835.0,1348900171
Szombathely,Szombathely,47.2351,16.6219,Hungary,HU,HUN,Vas,admin,147920.0,1348565183
Miskolc,Miskolc,48.0833,20.6667,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,admin,145248.0,1348668815
Veszprém,Veszprem,47.093,17.9138,Hungary,HU,HUN,Veszprém,admin,133880.0,1348279762
Kaposvár,Kaposvar,46.3638,17.7823,Hungary,HU,HUN,Somogy,admin,112253.0,1348114190
Gödöllő,Godollo,47.6,19.3667,Hungary,HU,HUN,Pest,minor,104471.0,1348039473
Sopron,Sopron,47.6849,16.5831,Hungary,HU,HUN,Sopron,admin,98479.0,1348988570
Érd,Erd,47.3784,18.922,Hungary,HU,HUN,Pest,minor,70800.0,1348575496
Szolnok,Szolnok,47.1747,20.1965,Hungary,HU,HUN,Jász-Nagykun-Szolnok,admin,67126.0,1348287339
Tatabánya,Tatabanya,47.5862,18.3949,Hungary,HU,HUN,Komárom-Esztergom,admin,65874.0,1348450358
Zalaegerszeg,Zalaegerszeg,46.8392,16.8511,Hungary,HU,HUN,Zala,admin,55433.0,1348293073
Békéscsaba,Bekescsaba,46.679,21.091,Hungary,HU,HUN,Békés,admin,55091.0,1348329493
Eger,Eger,47.899,20.3747,Hungary,HU,HUN,Heves,admin,50018.0,1348559499
Nagykanizsa,Nagykanizsa,46.455,16.9925,Hungary,HU,HUN,Nagykanizsa,admin,43188.0,1348509592
Dunakeszi,Dunakeszi,47.6303,19.1412,Hungary,HU,HUN,Pest,minor,43061.0,1348178190
Hódmezővásárhely,Hodmezovasarhely,46.4304,20.3188,Hungary,HU,HUN,Hódmezővásárhely,admin,41944.0,1348676241
Dunaújváros,Dunaujvaros,46.9806,18.9127,Hungary,HU,HUN,Dunaújváros,admin,41873.0,1348928583
Szigetszentmiklós,Szigetszentmiklos,47.3456,19.0483,Hungary,HU,HUN,Pest,minor,39954.0,1348768623
Cegléd,Cegled,47.1743,19.802,Hungary,HU,HUN,Pest,minor,36344.0,1348930347
Mosonmagyaróvár,Mosonmagyarovar,47.8737,17.2687,Hungary,HU,HUN,Győr-Moson-Sopron,minor,34226.0,1348666755
Vác,Vac,47.7752,19.131,Hungary,HU,HUN,Pest,minor,34040.0,1348810997
Baja,Baja,46.1833,18.9536,Hungary,HU,HUN,Bács-Kiskun,minor,33142.0,1348727226
Salgótarján,Salgotarjan,48.104,19.8075,Hungary,HU,HUN,Nógrád,admin,31223.0,1348290189
Ózd,Ozd,48.2167,20.3,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,minor,30865.0,1348082095
Szekszárd,Szekszard,46.356,18.7038,Hungary,HU,HUN,Tolna,admin,30057.0,1348026284
Hajdúböszörmény,Hajduboszormeny,47.6667,21.5167,Hungary,HU,HUN,Hajdú-Bihar,minor,29574.0,1348357188
Budaörs,Budaors,47.4607,18.958,Hungary,HU,HUN,Pest,,29397.0,1348705618
Kiskunfélegyháza,Kiskunfelegyhaza,46.7052,19.85,Hungary,HU,HUN,Bács-Kiskun,minor,28803.0,1348638728
Pápa,Papa,47.3237,17.468,Hungary,HU,HUN,Veszprém,minor,28789.0,1348169908
Esztergom,Esztergom,47.7856,18.7403,Hungary,HU,HUN,Komárom-Esztergom,minor,28680.0,1348527410
Szentendre,Szentendre,47.7044,19.0686,Hungary,HU,HUN,Pest,minor,28494.0,1348281649
Gyula,Gyula,46.65,21.2833,Hungary,HU,HUN,Békés,minor,28090.0,1348624339
Gyöngyös,Gyongyos,47.7833,19.9333,Hungary,HU,HUN,Heves,minor,27887.0,1348619810
Ajka,Ajka,47.1006,17.5522,Hungary,HU,HUN,Veszprém,minor,26643.0,1348671384
Kiskunhalas,Kiskunhalas,46.4319,19.4883,Hungary,HU,HUN,Bács-Kiskun,minor,26215.0,1348184980
Jászberény,Jaszbereny,47.5,19.9167,Hungary,HU,HUN,Jász-Nagykun-Szolnok,minor,26058.0,1348347095
Orosháza,Oroshaza,46.5667,20.6667,Hungary,HU,HUN,Békés,minor,25472.0,1348070535
Szentes,Szentes,46.651,20.258,Hungary,HU,HUN,Csongrád-Csanád,minor,25417.0,1348319560
Gyál,Gyal,47.3861,19.2192,Hungary,HU,HUN,Pest,minor,24463.0,1348670361
Siófok,Siofok,46.9239,18.0901,Hungary,HU,HUN,Somogy,minor,24390.0,1348589938
Kazincbarcika,Kazincbarcika,48.2531,20.6456,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,minor,24373.0,1348628122
Tata,Tata,47.6526,18.3238,Hungary,HU,HUN,Komárom-Esztergom,minor,23881.0,1348967161
Dunaharaszti,Dunaharaszti,47.3539,19.0948,Hungary,HU,HUN,Pest,,23637.0,1348702931
Hajdúszoboszló,Hajduszoboszlo,47.4333,21.3833,Hungary,HU,HUN,Hajdú-Bihar,minor,23475.0,1348837635
Nagykőrös,Nagykoros,47.0332,19.784,Hungary,HU,HUN,Pest,minor,23052.0,1348967171
Göd,God,47.6906,19.1344,Hungary,HU,HUN,Pest,,21992.0,1348600580
Makó,Mako,46.217,20.483,Hungary,HU,HUN,Csongrád-Csanád,minor,21913.0,1348716786
Komló,Komlo,46.1912,18.2613,Hungary,HU,HUN,Baranya,minor,21854.0,1348836400
Vecsés,Vecses,47.4057,19.2648,Hungary,HU,HUN,Pest,minor,21352.0,1348714695
Fót,Fot,47.6181,19.1903,Hungary,HU,HUN,Pest,,20975.0,1348547694
Veresegyház,Veresegyhaz,47.6505,19.283,Hungary,HU,HUN,Pest,,20783.0,1348362703
Hatvan,Hatvan,47.6681,19.6697,Hungary,HU,HUN,Heves,minor,20480.0,1348933364
Gyömrő,Gyomro,47.425,19.3977,Hungary,HU,HUN,Pest,,20216.0,1348769818
Komárom,Komarom,47.7403,18.1244,Hungary,HU,HUN,Komárom-Esztergom,minor,19652.0,1348857421
Várpalota,Varpalota,47.1989,18.1376,Hungary,HU,HUN,Veszprém,minor,19624.0,1348052599
Törökszentmiklós,Torokszentmiklos,47.1833,20.4167,Hungary,HU,HUN,Jász-Nagykun-Szolnok,minor,19380.0,1348803732
Monor,Monor,47.3475,19.4489,Hungary,HU,HUN,Pest,minor,19020.0,1348049694
Karcag,Karcag,47.3111,20.9161,Hungary,HU,HUN,Jász-Nagykun-Szolnok,minor,18495.0,1348514059
Pomáz,Pomaz,47.6431,19.0196,Hungary,HU,HUN,Pest,,18419.0,1348490155
Szigethalom,Szigethalom,47.3154,19.0078,Hungary,HU,HUN,Pest,,18286.0,1348568337
Oroszlány,Oroszlany,47.4833,18.3167,Hungary,HU,HUN,Komárom-Esztergom,minor,18064.0,1348109196
Keszthely,Keszthely,46.7696,17.2481,Hungary,HU,HUN,Zala,minor,18031.0,1348430852
Százhalombatta,Szazhalombatta,47.3004,18.9136,Hungary,HU,HUN,Pest,,17856.0,1348329361
Paks,Paks,46.622,18.8559,Hungary,HU,HUN,Tolna,minor,17827.0,1348932688
Békés,Bekes,46.7667,21.1333,Hungary,HU,HUN,Békés,minor,17726.0,1348964497
Dabas,Dabas,47.189,19.3126,Hungary,HU,HUN,Pest,minor,17527.0,1348671815
Pécel,Pecel,47.4893,19.3354,Hungary,HU,HUN,Pest,,17331.0,1348260007
Mohács,Mohacs,45.9959,18.6798,Hungary,HU,HUN,Baranya,minor,17315.0,1348907014
Dombóvár,Dombovar,46.382,18.1422,Hungary,HU,HUN,Tolna,minor,17300.0,1348286136
Balmazújváros,Balmazujvaros,47.6167,21.35,Hungary,HU,HUN,Hajdú-Bihar,minor,16949.0,1348090687
Hajdúnánás,Hajdunanas,47.85,21.4333,Hungary,HU,HUN,Hajdú-Bihar,minor,16214.0,1348235609
Mezőtúr,Mezotur,47.0,20.6333,Hungary,HU,HUN,Jász-Nagykun-Szolnok,minor,15644.0,1348445088
Mezőkövesd,Mezokovesd,47.8167,20.5833,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,minor,15588.0,1348265393
Tiszaújváros,Tiszaujvaros,47.9333,21.0833,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,minor,15479.0,1348143264
Budakeszi,Budakeszi,47.5123,18.9281,Hungary,HU,HUN,Pest,minor,15473.0,1348195369
Csongrád,Csongrad,46.7113,20.1403,Hungary,HU,HUN,Csongrád-Csanád,minor,15454.0,1348885069
Mátészalka,Mateszalka,47.95,22.3167,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,minor,15351.0,1348758097
Biatorbágy,Biatorbagy,47.4712,18.8252,Hungary,HU,HUN,Pest,,15151.0,1348104935
Sárvár,Sarvar,47.25,16.9333,Hungary,HU,HUN,Vas,minor,15003.0,1348516359
Kisvárda,Kisvarda,48.2167,22.0833,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,minor,14990.0,1348590811
