city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Darhan,Darhan,49.4689,105.9575,Mongolia,MN,MNG,Darhan-Uul,admin,74738.0,1496235602
Darhan,Darhan,49.6167,106.35,Mongolia,MN,MNG,Selenge,,74738.0,1496510995
Ölgiy,Olgiy,48.9683,89.9686,Mongolia,MN,MNG,Bayan-Ölgiy,admin,40564.0,1496290857
Choybalsan,Choybalsan,48.0783,114.535,Mongolia,MN,MNG,Dornod,admin,38150.0,1496921469
Nalayh,Nalayh,47.7725,107.2536,Mongolia,MN,MNG,Ulaanbaatar,,28152.0,1496295009
Ulaangom,Ulaangom,49.9833,92.0667,Mongolia,MN,MNG,Uvs,admin,26319.0,1496088351
Bayanhongor,Bayanhongor,46.1917,100.7178,Mongolia,MN,MNG,Bayanhongor,admin,26252.0,1496815184
Hovd,Hovd,48.0042,91.6406,Mongolia,MN,MNG,Hovd,admin,26023.0,1496382421
Uliastay,Uliastay,47.7428,96.8433,Mongolia,MN,MNG,Dzavhan,admin,22006.0,1496103841
Öndörhaan,Ondorhaan,47.3233,110.6611,Mongolia,MN,MNG,Hentiy,admin,20935.0,1496719699
Arvayheer,Arvayheer,46.2661,102.7778,Mongolia,MN,MNG,Övörhangay,admin,20000.0,1496580180
Saynshand,Saynshand,44.8917,110.1367,Mongolia,MN,MNG,Dornogovĭ,admin,19891.0,1496862229
Dalanzadgad,Dalanzadgad,43.57,104.4258,Mongolia,MN,MNG,Ömnögovĭ,minor,19396.0,1496544358
Sühbaatar,Suhbaatar,50.2364,106.2064,Mongolia,MN,MNG,Selenge,admin,19224.0,1496145017
Dzüünharaa,Dzuunharaa,48.8666,106.4666,Mongolia,MN,MNG,Selenge,,18830.0,1496200032
Tsetserleg,Tsetserleg,47.4769,101.4503,Mongolia,MN,MNG,Arhangay,admin,18519.0,1496397451
Altay,Altay,46.3728,96.2572,Mongolia,MN,MNG,Govĭ-Altay,admin,15800.0,1496574715
Harhorin,Harhorin,47.1972,102.8239,Mongolia,MN,MNG,Övörhangay,minor,14765.0,1496223301
Dzuunmod,Dzuunmod,47.7069,106.9494,Mongolia,MN,MNG,Töv,admin,14660.0,1496245822
Baruun-Urt,Baruun-Urt,46.6814,113.2803,Mongolia,MN,MNG,Sühbaatar,admin,14297.0,1496627655
Mandalgovĭ,Mandalgovi,45.7667,106.2697,Mongolia,MN,MNG,Dundgovĭ,admin,12339.0,1496666560
Bulgan,Bulgan,48.8119,103.5336,Mongolia,MN,MNG,Bulgan,admin,12323.0,1496317433
Choyr,Choyr,46.3606,108.365,Mongolia,MN,MNG,Govĭsümber,admin,10434.0,1496514583
Höshööt,Hoshoot,48.9408,89.1383,Mongolia,MN,MNG,Bayan-Ölgiy,minor,8744.0,1496001385
Ulaan-Uul,Ulaan-Uul,44.3337,111.2333,Mongolia,MN,MNG,Dornogovĭ,minor,3726.0,1496264968
Dalandzadgad,Dalandzadgad,43.5708,104.425,Mongolia,MN,MNG,Ömnögovĭ,admin,,1496141284
