city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Dolisie,Dolisie,-4.2006,12.6792,Congo (Brazzaville),CG,COG,Niari,admin,83798.0,1178045241
Kayes,Kayes,-4.1683,13.2933,Congo (Brazzaville),CG,COG,Bouenza,,71620.0,1178012015
Madingou,Madingou,-4.1642,13.5517,Congo (Brazzaville),CG,COG,Bouenza,admin,36183.0,1178057279
Impfondo,Impfondo,1.6186,18.0622,Congo (Brazzaville),CG,COG,Likouala,admin,33911.0,1178021926
Hinda,Hinda,-4.6167,12.0406,Congo (Brazzaville),CG,COG,Kouilou,,32995.0,1178008443
Sibiti,Sibiti,-3.685,13.3511,Congo (Brazzaville),CG,COG,Lékoumou,admin,32296.0,1178867178
Ouésso,Ouesso,1.6106,16.0514,Congo (Brazzaville),CG,COG,Sangha,admin,28179.0,1178364266
Loutété,Loutete,-4.2972,13.8556,Congo (Brazzaville),CG,COG,Bouenza,,27038.0,1178075371
Gamboma,Gamboma,-1.8711,15.8781,Congo (Brazzaville),CG,COG,Plateaux,,26053.0,1178991023
Owando,Owando,-0.4833,15.8975,Congo (Brazzaville),CG,COG,Cuvette,admin,24736.0,1178298042
Mossaka,Mossaka,-1.2258,16.7947,Congo (Brazzaville),CG,COG,Cuvette,,21265.0,1178417610
Mindouli,Mindouli,-4.2747,14.3575,Congo (Brazzaville),CG,COG,Pool,,20462.0,1178845448
Makoua,Makoua,-0.0067,15.6181,Congo (Brazzaville),CG,COG,Cuvette,,20038.0,1178500492
Loudima Poste,Loudima Poste,-4.1122,13.06,Congo (Brazzaville),CG,COG,Bouenza,,19884.0,1178518794
Bouansa,Bouansa,-4.2178,13.7628,Congo (Brazzaville),CG,COG,Bouenza,,19064.0,1178437316
Mossendjo,Mossendjo,-2.9453,12.7156,Congo (Brazzaville),CG,COG,Niari,,18628.0,1178679314
Djambala,Djambala,-2.54,14.7519,Congo (Brazzaville),CG,COG,Plateaux,admin,14989.0,1178834249
Makabana,Makabana,-3.4833,12.6067,Congo (Brazzaville),CG,COG,Niari,,13067.0,1178715726
Boloso,Boloso,2.0333,15.2,Congo (Brazzaville),CG,COG,Sangha,,12244.0,1178777874
Kinkala,Kinkala,-4.3567,14.7589,Congo (Brazzaville),CG,COG,Pool,admin,12102.0,1178867565
Etoumbi,Etoumbi,0.0208,14.8933,Congo (Brazzaville),CG,COG,Cuvette,,10862.0,1178299694
Boundji,Boundji,-1.0264,15.3478,Congo (Brazzaville),CG,COG,Cuvette,,9970.0,1178804816
Dongou,Dongou,2.0447,18.0525,Congo (Brazzaville),CG,COG,Likouala,,9935.0,1178954827
Ewo,Ewo,-0.8742,14.8167,Congo (Brazzaville),CG,COG,Cuvette-Ouest,admin,9062.0,1178339407
Kéllé,Kelle,-0.0608,14.4878,Congo (Brazzaville),CG,COG,Cuvette-Ouest,,8862.0,1178838538
Sémbé,Sembe,1.6553,14.5708,Congo (Brazzaville),CG,COG,Sangha,,4957.0,1178118997
Loango,Loango,-4.6561,11.8114,Congo (Brazzaville),CG,COG,Kouilou,admin,,1178836764
