city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kouroussa,Kouroussa,10.653,-9.892,Guinea,GN,GIN,Kankan,minor,14223.0,1324187341
Koundara,Koundara,12.48,-13.296,Guinea,GN,GIN,Boké,minor,13990.0,1324267190
Beyla,Beyla,8.6833,-8.6333,Guinea,GN,GIN,N’Zérékoré,minor,13204.0,1324564039
Forécariah,Forecariah,9.43,-13.098,Guinea,GN,GIN,Kindia,minor,12358.0,1324863095
Sansalé,Sansale,11.1167,-14.85,Guinea,GN,GIN,Boké,,11919.0,1324087225
Gaoual,Gaoual,11.754,-13.213,Guinea,GN,GIN,Boké,minor,7461.0,1324589428
Dalaba,Dalaba,10.656,-12.272,Guinea,GN,GIN,Mamou,minor,6349.0,1324455027
Dinguiraye,Dinguiraye,11.299,-10.726,Guinea,GN,GIN,Faranah,minor,6062.0,1324546502
Mali,Mali,12.084,-12.301,Guinea,GN,GIN,Labé,minor,5479.0,1324065197
Boffa,Boffa,10.185,-14.043,Guinea,GN,GIN,Boké,minor,2332.0,1324801511
Conakry,Conakry,9.5092,-13.7122,Guinea,GN,GIN,Conakry,primary,1667864.0,1324568159
Mamou,Mamou,10.3833,-12.0833,Guinea,GN,GIN,Mamou,admin,376269.0,1324990909
Guéckédou,Gueckedou,8.5667,-10.1333,Guinea,GN,GIN,N’Zérékoré,minor,221715.0,1324580681
Kankan,Kankan,10.3833,-9.3,Guinea,GN,GIN,Kankan,admin,198013.0,1324495325
N’Zérékoré,N'Zerekore,7.75,-8.8167,Guinea,GN,GIN,N’Zérékoré,admin,195027.0,1324336588
Siguiri,Siguiri,11.4167,-9.1667,Guinea,GN,GIN,Kankan,minor,183875.0,1324494896
Kindia,Kindia,10.0497,-12.8542,Guinea,GN,GIN,Kindia,admin,181126.0,1324348910
Boké,Boke,10.94,-14.3,Guinea,GN,GIN,Boké,admin,116270.0,1324037897
Labé,Labe,11.3167,-12.2833,Guinea,GN,GIN,Labé,admin,107695.0,1324900784
Faranah,Faranah,10.0333,-10.7333,Guinea,GN,GIN,Faranah,admin,78108.0,1324603099
Kamsar,Kamsar,10.65,-14.6167,Guinea,GN,GIN,Boké,,68999.0,1324075393
Kissidougou,Kissidougou,9.1905,-10.12,Guinea,GN,GIN,Faranah,minor,66815.0,1324750427
Macenta,Macenta,8.5504,-9.48,Guinea,GN,GIN,N’Zérékoré,minor,43102.0,1324817479
Dabola,Dabola,10.75,-11.1167,Guinea,GN,GIN,Faranah,minor,38617.0,1324368075
Kéniéran,Kenieran,11.1167,-8.9333,Guinea,GN,GIN,Kankan,,37944.0,1324706488
Télimélé,Telimele,10.905,-13.043,Guinea,GN,GIN,Kindia,minor,30311.0,1324315862
Yomou,Yomou,7.566,-9.2533,Guinea,GN,GIN,N’Zérékoré,minor,29138.0,1324839778
Tougué,Tougue,11.44,-11.67,Guinea,GN,GIN,Labé,minor,25531.0,1324920258
Fria,Fria,10.3804,-13.55,Guinea,GN,GIN,Boké,minor,23729.0,1324583144
Pita,Pita,11.08,-12.401,Guinea,GN,GIN,Mamou,minor,20052.0,1324788694
Doura,Doura,12.0167,-9.0167,Guinea,GN,GIN,Kankan,,18675.0,1324130854
Kérouané,Kerouane,9.2704,-9.02,Guinea,GN,GIN,Kankan,minor,15406.0,1324580549
Kouroussa,Kouroussa,10.653,-9.892,Guinea,GN,GIN,Kankan,minor,14223.0,1324187341
Koundara,Koundara,12.48,-13.296,Guinea,GN,GIN,Boké,minor,13990.0,1324267190
Beyla,Beyla,8.6833,-8.6333,Guinea,GN,GIN,N’Zérékoré,minor,13204.0,1324564039
Forécariah,Forecariah,9.43,-13.098,Guinea,GN,GIN,Kindia,minor,12358.0,1324863095
Sansalé,Sansale,11.1167,-14.85,Guinea,GN,GIN,Boké,,11919.0,1324087225
Gaoual,Gaoual,11.754,-13.213,Guinea,GN,GIN,Boké,minor,7461.0,1324589428
Dalaba,Dalaba,10.656,-12.272,Guinea,GN,GIN,Mamou,minor,6349.0,1324455027
Dinguiraye,Dinguiraye,11.299,-10.726,Guinea,GN,GIN,Faranah,minor,6062.0,1324546502
Mali,Mali,12.084,-12.301,Guinea,GN,GIN,Labé,minor,5479.0,1324065197
Boffa,Boffa,10.185,-14.043,Guinea,GN,GIN,Boké,minor,2332.0,1324801511
