city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bakel,Bakel,14.9042,-12.4583,Senegal,SN,SEN,Tambacounda,,15000.0,1686470120
Sokone,Sokone,13.8833,-16.3667,Senegal,SN,SEN,Fatick,,14500.0,1686985910
Goudomp,Goudomp,12.5778,-15.8722,Senegal,SN,SEN,Sédhiou,,13394.0,1686688910
Kanel,Kanel,15.4833,-13.1667,Senegal,SN,SEN,Matam,,12975.0,1686649291
Khombole,Khombole,14.7667,-16.6833,Senegal,SN,SEN,Thiès,,12880.0,1686305401
Diamniadio,Diamniadio,14.7219,-17.1789,Senegal,SN,SEN,Dakar,,12326.0,1686338473
Tiadiaye,Tiadiaye,14.4167,-16.7,Senegal,SN,SEN,Thiès,,12168.0,1686233081
Mboro,Mboro,15.15,-16.9,Senegal,SN,SEN,Thiès,,11809.0,1686694714
Ross-Bétio,Ross-Betio,16.2667,-16.1333,Senegal,SN,SEN,Saint-Louis,,11588.0,1686215885
Kédougou,Kedougou,12.55,-12.1833,Senegal,SN,SEN,Kédougou,admin,11216.0,1686320341
Guéoul,Gueoul,15.4833,-16.35,Senegal,SN,SEN,Louga,,10918.0,1686714378
Thilogne,Thilogne,15.9239,-13.6578,Senegal,SN,SEN,Matam,,10440.0,1686563185
Kidira,Kidira,14.4167,-12.25,Senegal,SN,SEN,Tambacounda,,10065.0,1686929871
Diabougou,Diabougou,14.5431,-12.2186,Senegal,SN,SEN,Tambacounda,,10000.0,1686174513
Koumpentoum,Koumpentoum,13.9833,-14.5667,Senegal,SN,SEN,Tambacounda,,10000.0,1686285510
Ngaparou,Ngaparou,14.4631,-17.0581,Senegal,SN,SEN,Thiès,,9500.0,1686694843
Tionk Essil,Tionk Essil,12.7856,-16.5217,Senegal,SN,SEN,Ziguinchor,,8507.0,1686842039
Sédhiou,Sedhiou,12.7,-15.55,Senegal,SN,SEN,Sédhiou,admin,,1686107428
Dakar,Dakar,14.6928,-17.4467,Senegal,SN,SEN,Dakar,primary,1438725.0,1686604760
Pikine,Pikine,14.75,-17.4,Senegal,SN,SEN,Dakar,,1170791.0,1686165071
Touba,Touba,14.8667,-15.8833,Senegal,SN,SEN,Diourbel,,529176.0,1686956738
Thiès,Thies,14.7833,-16.9167,Senegal,SN,SEN,Thiès,admin,394544.0,1686527948
Guédiawaye,Guediawaye,14.7833,-17.4,Senegal,SN,SEN,Dakar,,329659.0,1686908896
Rufisque,Rufisque,14.7167,-17.2667,Senegal,SN,SEN,Dakar,,221066.0,1686348669
Kaolack,Kaolack,14.1389,-16.0764,Senegal,SN,SEN,Kaolack,admin,172305.0,1686256343
Saint-Louis,Saint-Louis,16.0333,-16.5,Senegal,SN,SEN,Saint-Louis,admin,154555.0,1686542859
Diourbel,Diourbel,14.655,-16.2314,Senegal,SN,SEN,Diourbel,admin,100445.0,1686087214
Richard-Toll,Richard-Toll,16.4667,-15.6833,Senegal,SN,SEN,Saint-Louis,,90000.0,1686778591
Louga,Louga,15.6167,-16.2167,Senegal,SN,SEN,Louga,admin,82884.0,1686269931
Tambacounda,Tambacounda,13.7689,-13.6672,Senegal,SN,SEN,Tambacounda,admin,78800.0,1686195160
Ziguinchor,Ziguinchor,12.5833,-16.2667,Senegal,SN,SEN,Ziguinchor,admin,69646.0,1686273643
Mbaké,Mbake,14.7917,-15.9083,Senegal,SN,SEN,Diourbel,,68054.0,1686440030
Kolda,Kolda,12.8833,-14.95,Senegal,SN,SEN,Kolda,admin,62258.0,1686219536
Bargny,Bargny,14.6939,-17.2336,Senegal,SN,SEN,Dakar,,51188.0,1686924256
Joal-Fadiout,Joal-Fadiout,14.1667,-16.8333,Senegal,SN,SEN,Thiès,,45903.0,1686150364
Paoskoto,Paoskoto,13.7833,-15.8167,Senegal,SN,SEN,Kaolack,,43460.0,1686730236
Tivaouane,Tivaouane,14.95,-16.8167,Senegal,SN,SEN,Thiès,,39755.0,1686949822
Kaffrine,Kaffrine,14.1014,-15.5432,Senegal,SN,SEN,Kaffrine,admin,39357.0,1686807341
Dara,Dara,15.35,-15.6,Senegal,SN,SEN,Louga,,32941.0,1686515842
Malème Hodar,Maleme Hodar,14.0883,-15.2944,Senegal,SN,SEN,Kaffrine,,30000.0,1686577434
Sali,Sali,14.4383,-17.0125,Senegal,SN,SEN,Thiès,,30000.0,1686109073
Sébikhotane,Sebikhotane,14.7469,-17.1367,Senegal,SN,SEN,Dakar,,27402.0,1686663994
Vélingara,Velingara,13.15,-14.1167,Senegal,SN,SEN,Kolda,,23775.0,1686799000
Pout,Pout,14.7739,-17.0603,Senegal,SN,SEN,Thiès,,23728.0,1686073120
Mékhé,Mekhe,15.1167,-16.6333,Senegal,SN,SEN,Thiès,,22944.0,1686246700
Bignona,Bignona,12.8167,-16.2333,Senegal,SN,SEN,Ziguinchor,,22237.0,1686478890
Salémata,Salemata,12.6333,-12.8167,Senegal,SN,SEN,Kédougou,,22111.0,1686886935
Kobilo,Kobilo,15.9251,-13.5242,Senegal,SN,SEN,Matam,,21656.0,1686275678
Nguékhokh,Nguekhokh,14.5128,-17.05,Senegal,SN,SEN,Thiès,,20053.0,1686782757
Kébémer,Kebemer,15.3667,-16.4333,Senegal,SN,SEN,Louga,,20000.0,1686793316
Fatick,Fatick,14.3333,-16.4069,Senegal,SN,SEN,Fatick,admin,18416.0,1686096548
Dagana,Dagana,16.4833,-15.6,Senegal,SN,SEN,Saint-Louis,,18205.0,1686270478
Matam,Matam,15.6167,-13.3333,Senegal,SN,SEN,Matam,admin,17324.0,1686919750
Nioro du Rip,Nioro du Rip,13.75,-15.8,Senegal,SN,SEN,Kaolack,,15643.0,1686812399
Guinguinéo,Guinguineo,14.2667,-15.95,Senegal,SN,SEN,Fatick,,15627.0,1686164172
Linguère,Linguere,15.3944,-15.1167,Senegal,SN,SEN,Louga,,15482.0,1686531921
Koungheul,Koungheul,13.9833,-14.8,Senegal,SN,SEN,Kaffrine,,15000.0,1686554670
Bakel,Bakel,14.9042,-12.4583,Senegal,SN,SEN,Tambacounda,,15000.0,1686470120
Sokone,Sokone,13.8833,-16.3667,Senegal,SN,SEN,Fatick,,14500.0,1686985910
Goudomp,Goudomp,12.5778,-15.8722,Senegal,SN,SEN,Sédhiou,,13394.0,1686688910
Kanel,Kanel,15.4833,-13.1667,Senegal,SN,SEN,Matam,,12975.0,1686649291
Khombole,Khombole,14.7667,-16.6833,Senegal,SN,SEN,Thiès,,12880.0,1686305401
Diamniadio,Diamniadio,14.7219,-17.1789,Senegal,SN,SEN,Dakar,,12326.0,1686338473
Tiadiaye,Tiadiaye,14.4167,-16.7,Senegal,SN,SEN,Thiès,,12168.0,1686233081
Mboro,Mboro,15.15,-16.9,Senegal,SN,SEN,Thiès,,11809.0,1686694714
Ross-Bétio,Ross-Betio,16.2667,-16.1333,Senegal,SN,SEN,Saint-Louis,,11588.0,1686215885
Kédougou,Kedougou,12.55,-12.1833,Senegal,SN,SEN,Kédougou,admin,11216.0,1686320341
Guéoul,Gueoul,15.4833,-16.35,Senegal,SN,SEN,Louga,,10918.0,1686714378
Thilogne,Thilogne,15.9239,-13.6578,Senegal,SN,SEN,Matam,,10440.0,1686563185
Kidira,Kidira,14.4167,-12.25,Senegal,SN,SEN,Tambacounda,,10065.0,1686929871
Diabougou,Diabougou,14.5431,-12.2186,Senegal,SN,SEN,Tambacounda,,10000.0,1686174513
Koumpentoum,Koumpentoum,13.9833,-14.5667,Senegal,SN,SEN,Tambacounda,,10000.0,1686285510
Ngaparou,Ngaparou,14.4631,-17.0581,Senegal,SN,SEN,Thiès,,9500.0,1686694843
Tionk Essil,Tionk Essil,12.7856,-16.5217,Senegal,SN,SEN,Ziguinchor,,8507.0,1686842039
Sédhiou,Sedhiou,12.7,-15.55,Senegal,SN,SEN,Sédhiou,admin,,1686107428
